track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,playlist_stream_ratio
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526.0,69,113,695,0,458,144,E,Minor,74,37,53,7,0,21,10,2.4498778913448905e-05
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294.0,7,6,0,0,48,130,F,Major,51,18,44,76,0,11,3,1.1855774074231862e-06
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,58,18,39058561.0,2,106,4,2,184,116,B,Major,77,79,62,33,1,15,3,1.4849497399558575e-06
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123.0,21,52,6,1,0,121,G,Major,65,49,78,0,0,17,4,2.682045679139073e-06
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614.0,101,32,"2,655",0,666,112,G,Major,64,54,81,36,0,11,6,3.462079200799511e-05
No Role Modelz,J. Cole,1,2014,12,9,21164,36,1791000570.0,80,65,476,0,14,100,A#,Minor,70,47,52,30,0,6,33,1.181685832740969e-05
Tattoo,Loreen,1,2023,2,25,2988,59,201660859.0,74,102,145,18,925,150,D#,Minor,55,30,78,24,0,12,8,1.4816955629451128e-05
Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,248088961.0,19,23,24,3,88,120,F,Minor,84,96,71,18,0,34,17,3.599515256142332e-06
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,34,90839753.0,40,58,47,8,203,127,B,Minor,82,89,85,4,0,23,6,1.2043185542347303e-05
august,Taylor Swift,1,2020,7,24,7324,22,607123776.0,25,81,61,1,44,90,F,Major,51,42,61,53,0,9,3,1.2063437950418861e-05
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345.0,19,117,8,1,74,128,A,Minor,75,79,63,33,0,15,4,3.599419043021922e-06
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784.0,161,115,246,9,638,143,A,Major,64,31,87,4,4,8,4,2.4259563991953708e-05
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938.0,69,12,38,8,64,139,G#,Major,74,68,68,3,0,26,4,6.841685936297464e-06
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762.0,21,110,21,9,71,162,A#,Major,49,78,64,19,0,11,4,0.27624909485879795
Por las Noches,Peso Pluma,1,2021,6,11,457,24,330346424.0,8,116,4,3,2,92,,Major,81,39,60,31,0,7,3,1.3833962373995609e-06
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,3430,38,601863821.0,45,69,52,4,3,95,F,Major,87,57,55,10,0,29,7,5.698963586648282e-06
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,1953533826.0,201,44,"6,551",2,0,146,D,Major,63,88,93,3,0,10,8,3.109237177856781e-06
Watermelon Sugar,Harry Styles,1,2019,11,17,21915,34,2322580122.0,437,115,"1,212",12,,95,,Major,55,56,82,12,0,34,5,9.43562712537501e-06
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,30,2355719893.0,221,96,"1,078",2,136,115,E,Minor,35,12,30,93,0,10,3,6.381064253295755e-06
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503.0,25,59,32,5,88,128,B,Major,78,59,65,10,0,26,5,1.3018944896575842e-05
Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746.0,10,126,7,0,148,130,E,Minor,82,69,83,3,0,27,5,4.68455855036533e-06
OMG,NewJeans,1,2023,1,2,1783,27,430977451.0,26,124,15,1,22,127,A,Minor,80,74,77,36,0,11,4,4.137107395904107e-06
Radio,Lana Del Rey,1,2011,1,1,9389,46,284819874.0,24,122,282,3,368,150,D,Major,42,20,86,21,0,9,9,3.2964694029743165e-05
